header,article
"Images of Destruction - and Hope
October 6, 2024 | Charlotte Observer, The (NC) | Charlotte, North Carolina | Page 11
Author: THE CHARLOTTEOBSERVER","Hurricane Helene swept across the Southeast, causing major flooding and devastation throughout
North Carolina. The News & Observer and The Charlotte Observer journalists are covering
the aftermath of the storm.
Sarah Pike, center, gets a hug from her friend Jen Dombrowski, who arrived to help Pike clean up her business in downtown Marshall on Oct. 1.
A member of a search and rescue team works in a flooded field adjacent to the Catawba River near Old Fort on Oct. 2. He was searching for victims of Hurricane Helene.
Volunteers fill containers of water for the community at a water distribution site at Pack Square in downtown Asheville on Oct. 1.
KHADEJEH NIKOUYEH Knikouyeh@charlotteobserver.com BELOW: A search and rescue team from Atlantic Beach examines a van swept into the river in Swannanoa. They were assisting in the community on Sept. 29.
A destroyed house with a car under it in Chimney Rock on Sept. 29.
ABOVE RIGHT: The North Carolina National Guard loads supplies in Salisbury on Oct. 3 to transport to Western North Carolina.
RIGHT: A doll lies in a pile of debris outside a home in Clyde on Sept. 28."
"They were in the basement frantically preparing for a flood. Then the landslide hit
October 6, 2024 | Charlotte Observer, The (NC) | Charlotte, North Carolina | Page 12
Author: MARTHA QUILLIN","They were in the basement frantically preparing for a flood. Then the landslide hit
In the Balls' basement, the water was just coming up too fast, and Kelli told Dakota, ""We've got to go. We've got to go!"" And ran upstairs.
That's when she felt the vibration in her breastbone.
She reached the living room, with its big windows that look across Stony Fork Road at a hay field, then up at a mountain that's part of Pisgah National Forest, just as the mountain turned loose a river of boulders and trees and mud.
BARNARDSVILLE
Kelli Ball felt the landslide in the bones of her chest before she could see it.
She and her husband, Dakota, were in the basement of their house on Stony Fork Road trying to move stuff out of the way of the rising water. The water was coming from the creek behind the house, normally a little trickle way down the hill, that had climbed the bank Friday morning with all
the rain from the remnants of Hurricane Helene.
Their boys, Canaan, 8, and Macon, 4, were upstairs on the couch.
It was around 10 a.m. The family had been awake since 5 a.m., and all morning, the mountains around them had been groaning in the deluge.
""If you've not experienced a flood in the mountains, you just hear these boulders rolling and trees breaking and it just rumbles in the mountains,"" Kelli said. alt echoes everywhere. We had been hearing that all
morning."" The flooding was happening all around Barnardsville, a farming community in Buncombe County north of Asheville along the normally friendly Big Ivy River and laced with creeks that come down from the hills. The Big Ivy itself was coming out of its banks and spreading all over the lowland, snatching double-wide mobile homes and stick-built houses off their foundations and sending them downstream in shards. It emptied out a catfish pond. It blew out a wall of the local diner.
It was heading hundreds of yards downhill, coming for the Balls' house, with the potential to also take out Dakota's parents' house, on one side of them, or his grandmother's, on the other.
They had picked this site when they built the home in 2019 because it was on high ground.
""We thought it was the safest place,"" Dakota said.
When Kelli saw - and felt - the liquified mountain coming at her family, she screamed at Dakota, who was still in the basement: ""Landslide!''
She grabbed the boys and went out the front door just as a whole tree slammed into the house, jamming under the porch.
""It was like a runaway freight train coming down that mountain,"" Kelli said.
The boys jumped from the porch and first the family started to run to the right, ""but the slide kept coming, n so they decided to go the other way. By then, Dakota's parents had run outside. Separated by the flow of mud and debris several feet deep running between their two houses, ""We formed a human chain and just passed our babies across that river,'' as rocks and branches ran across their bare feet in the flowing mud.
Dakota Ball said the slide opened up two new springs in the front yard, and he and others had used a track hoe to reroute them into one stream running beside the drive-way and toward the creek behind the house. The couple had stripped the dry wall in the basement, and with the help of people of Barnardsville, had cut enough of the scattered trees to move around in the yard.
A few miles down the road, in Barnardsville proper, volunteers were sorting donations of canned corn and taco shells and bottled water at the old four-bay building that used to house the volunteer fire department. The community, routed by water, already was rebuilding its washed-out roads using equipment on loan from Brock Mountain, a local construction company.
Owners of A TVs were shuttling residents where they needed to go because cars and pavement had been washed away.
""We're lucky,"" Kelli Ball said. ""We're alive."""
"Free legal assistance available for Helene storm victims in NC. How to get help
October 6, 2024 | Charlotte Observer, The (NC) | Charlotte, North Carolina | Page 12
Author: CHYNA BLACKMON cblackmon@charlotteobserver.com","As thousands of North Carolinians continue to pick up the pieces from the destruction left behind by Hurricane Helene, free legal help is now available to help those in need.
The North Carolina Bar Association and Foundation, Legal Aid of North Carolina, the American Bar Association Young Lawyers Division and the Federal En1ergency Management Agency have teamed up to launch a pro bono legal program with local lawyers.
The Disaster Legal Services hotline (866-219-5262) is available for low-income survivors to connect with volunteer attorneys to assist with any storm-related questions and disaster benefits, including:
FEMA appeals
Disaster
Unemployment Assistance
Insurance claims
Home repair contracts
and contractor disputes
Contractor fraud and
consumer protection matters
Replacing destroyed legal documents
Mortgage-foreclosure
Landlord or tenant
issues
The toll-free hotline is available 8:30 a.m.-1:30 p.m. Monday through Friday and 5:30-8:30 p.m. Mondays and Thnrsdays. To be con-
nected to a volunteer lawyer, explain which county you are located in and ask for Disaster Legal Services assistance.
According to Legal Aid of North Carolina, 26 continues have been approved for the federal assistance: Alexander, Alleghany, Ashe, Avery, Buncombe, Burke, Caldwell, Catawba, Clay, Cleveland, Gaston, Haywood, Henderson, Jackson, Lincoln, Macon, Madison, McDowell, Mitchell, Polk, Rutherford, Transylvania, Watauga, Wilkes and Yancey counties and the Eastern Band of Cherokee Indians.
You can find more information about the Disaster Legal Services hotline and Legal Aid's resource library with tips for replacing lost documents, property taxes, unemployment assistance and more online at legalaidnc.org/ disaster."
"No power but only minor damage: Spruce Pine quartz mine owner updates Helene recovery
October 6, 2024 | Charlotte Observer, The (NC) | Charlotte, North Carolina | Page 24
Author: BRIAN GORDON","The world's main producer of high-purity quartz, a mineral crucial to the global supply of semiconductor chips, announced its shuttered Spruce Pine, North Carolina, mines have endured ""minor damage,"" according to an initial assessment conducted after Tropical Storm Helene upended the town.
""Our dedicated teams are on-site, conducting cleanup and repair activities to restart operations as soon as we can,"" the mine owner, Sibelco, wrote in an update Friday. The private Belgian company added the power remains out at its Western North Carolina mines but that repairs have ""progressed significantly.""
KAITLIN MCKEOWN kmckeown@newsobserver.com
Andrew Zook, left, helps to clear instruments and other items from the mud inside Majestic Music in downtown Spruce Pine on Thursday, days after Hurricane Helene brought heavy flooding to the area.
With around 500 employees, Sibelco is the largest employer in Mitchell County, a rural mountainous area northeast of
Asheville. The company said all its employees and contractors had been accounted for following last week's storm, which dumped more than two feet of rain on Spruce Pine and flooded the local North Toe River. Its facilities have been closed since Sept. 26.
Sibelco's mines sit north of downtown in an area called the Spruce Pine Mining District. Like much of the region, Mitchell County has sustained extensive road and rail line damage, which could hinder employees' ability to get to the mines and Sibelco's ability to move its valuable quartz.
Free of impurities, Spruce Pine quartz has been crucial to the supply of semiconductor wafers, solar panels and other fast-growing technologies.
""It is rare, unheard-of almost, for a single site to control the global snpply of a crucial material,"" wrote Ed Conway in his 2023 book ""Material World."" ""Yet if you want to get high-purity quartz -the kind you need to make those crucibles without which you can't make silicon wafers - it has to co1ne from Spruce Pine.""
Sibelco has grown to keep up with the demand. Between 2019 and 2023, the company increased its production of high-quality quartz by almost 60%. And in April 2023, Sibelco committed to invest $200 million in its Spruce Pine facilities to double production by next year.
On Friday, the company said its final product stock ""has not been impacted"" by the storm. ""We are working closely with our customers to assess their needs and plan the restart of product shipments as soon as we can/' Sibelco said.
Sibelco sells its white quartz sand under the brand name IOTA, which the company states online is ""indispensable in the manufacture of a wide range of high-tech products.""
Disruptions at the Spruce Pine mines have previously impacted the supply chain of quartz; In 2008, a fire at a local quartz refinery ""temporarily brought production to a halt and impacted the market,"" the consulting firm Global Risk Intel reported.
Sibelco isn't the only quartz mining company in Spruce Pine. In recent years, a second company named The Quartz Corp opened area mines. On Tuesday, The Quartz Corp confirmed it had also stopped operations following Helene, noting 11we have no visibility on when they will restart.""
Compared to Sibelco's sites, The Quartz Corp mine is positioned closer to the North Toe River."
"Milton takes turn to target Florida on 'destructive' path
October 9, 2024 | Charlotte Observer, The (NC) | Charlotte, North Carolina | Page 12
Author: RICHARD TRIBOU","Orlando Sentinel/Tribune Content Agency 
ORLANDO, FLA.
Hurricane Milton began its tum toward Florida on Tuesday still a powerful Category 4 hurricane with a forecast landfall near Tampa Bay and projected path that will cut through Central Florida.
The powerful hurricane surged Monday into a monster Category 5 storm with 180 mph winds in the Gulf of Mexico, but lost some steam overnight as it moved over the waters just north of Mexico's Yucatan peninsula.
""While fluctuations in intensity are expected, Milton is forecast to remain an extremely dangerous hurricane through landfall in Florida,"" said NHC senior hurricane specialist John Cangialosi. "" Milton has the potential to be one of the most destructive hurricanes on record for west-central Florida.""
As of 8 a.m. Tuesday, the National Hurricane Center said Milton had maximumsustained winds at 145 mph located 545 miles southwest of Tampa moving east-northeast at 12 mph north of the Yucatan peninsula.
The latest forecast track ranges from Cape Coral in southwest Florida's Gulf Coast north up to Yankeetown, but the consensus path remains targeted at Tampa Bay with landfall after midnight Thursday still a major Category 3 hurricane with 125 mph winds and 155 mph gusts.
The forecast track has it passing south of Lakeland and Kissimmee headed toward Cape Canaveral, never losing hurricane status as it crosses the state into the Atlantic.
Its hurricane-force winds only extend out 30 miles, but tropical-storm-force winds have begun to expand, now out 105 miles, the result of an eyewall replacement cycle, Cangia losi said.
""Milton is still a relatively compact hurricane, but the wind field is expected to continue to grow in size as it approaches Florida, he said.
The forecast shows both hurricane- and tropical storm-force winds roughly doubling in size by landfall.
""Therefore, damaging winds, life-threatening storm surge, and heavy rainfall will extend well outside the forecast cone,"" he said. ""It is worth emphasizing that this is a very serious situation and residents in Florida should closely follow orders from their local emergency management officials.""
In Florida, a hurricane warning is in effect for the west coast from Bonita Beach north to the mouth of the Suwannee River including Tampa Bay and on the east coast from the Indian River/St. Lucie county line north to Ponte Vedra Beach.
Inland hurricane warnings are in place for parts of the southern Florida peninsula including Central Florida's Brevard, Lake, Marion, Orange, Osceola, Polk, Seminole, Sumter and Volusia counties.
Updated storm surge predictions now call for 10-15 feet from the Anclote River north of Tampa south down to Englewood including Tampa Bay in the core projected landfall area.
""We're talking about storm surge values higher than the ceiling,"" said Florida Division of Emergency Management Director Kevin Guthrie. ""Please. If you're in the Tampa Bay area, you need to evacuate. If they have called for your evacuation order, I beg you, I implore you, to evacuate. Drowning deaths due to storm surge are 100% preventable if you leave.""
Evacuations on much of Florida's west coast barrier islands have already begun.
""We had situations where people died of drowning in Hurricane Ian. Had they just gone across the bridge from Estero Bay, Sanibel Island and so on, just across the bridge to the first available shelter that had capacity, they'd still be alive today,"" he said.
It's forecast to continue its tum to the east-northeast on Tuesday and Wednesday and approach Florida's Gulf Coast by Wednesday night.
With mass evacuations from the Gulf Coast underway, gas stations have been running out of fuel, but the state has already begun to deploy emergency supplies since Monday night.
The state still has 268,000 gallons of diesel and 110,000 gallons of gasoline, and another 1.2 million gallons of both diesel and gasoline headed to the state."
"As Milton nears Florida, FEMA faces severe staffing shortage
October 9, 2024 | Charlotte Observer, The (NC) | Charlotte, North Carolina | Page 15
Author: CHRISTOPHER FLAVELLE","NYT News Service
The Federal Emergency Management Agency is running out of staff to deal with the potential devastation of Hurricane Milton as it barrels toward Tampa with wind speeds that have reached 175 mph.
As of Monday morning, just 9% of FEMA's personnel, or 1,217 people, were available to respond to the hurricane or other disasters, according to the agency's daily operations briefing. To put that into context: Over the previous five years, one-quarter of the agency's staff was available for deployment at this point in the hurricane season.
Even in 2017 - arguably FEMA's busiest year in the past decade, after Hurricane Harvey flooded Houston, Hurricane Irma plowed through Florida, and Hurricane Maria plunged Puerto Rico into darkness - FEMA's staffing reserves at this point in October were 19%, more than twice the levels they are at now.
The agency said Monday afternoon that it is well equipped to handle the strains. ""FEMA is built for this,"" said Leiloni Stains by, the agency's deputy associate administrator for response and recovery.
But FEMA is stretched not just by the brutal aftermath of Hurricane Helene, which killed more than 200 people and destroyed sections of western North Carolina. Its staff is also responding to flooding and landslides in Vermont, tornadoes in Kansas, the aftermath of Tropical Storm Debby in New York and Georgia and the Watch Fire in Arizona.
And those are just the disasters that were declared in the past two weeks.
""The agency is simultaneously supporting over 100 major disaster declarations,"" Brock Long, who led FEMA during the Trump administration, said
in a statement. ""The scale of staffing required for these operations is immense. n
Now FEMA must find staff members to deploy to Florida, where Milton is on track to plow into Tampa, prompting officials to prepare for what could be the largest evacuation since 2017.
The relentless string of disasters, which are becoming more frequent and severe because of climate change, is just one challenge.
In a report last year, the nonpartisan Government Accountability Office found that 35% of FEMA's positions were unfilled, partly because of ""rising disaster activity during the year, which increased burnout and employee attrition.""
The agency also faces a funding crunch. Congress last week approved FEMA's request to top up its disaster relief fund. That was before Hurricane Milton, and Homeland Security Secretary Alejandro Mayorkas last week said FEMA needed additional funding from Congress to make it through the hurricane season. Speaker Mike Johnson has declined to call House lawmakers back from the campaign trail for an emergency session to fund hurricane relief and rebuilding.
Still, the most immediate problem for FEMA is finding enough people.
It's not just the top-line staff numbers that jump out. According to Monday's briefing, some of FEMA' s most highly trained personnel, which are grouped into what the agency calls ""cadres,"" are at particularly low levels.
As of Monday morning, of the 2,579 people who work in the agency's Individual Assistance cadre, four were available to deploy to Florida. Four of the 94 people who work in the safety cadre were available. And just one of the 1,201 people working in disaster survivor assistance could be dispatched."
"Charlotte teams help UNC Asheville recover post-Helene
October 11, 2024 | Charlotte Observer, The (NC) | Charlotte, North Carolina | Page 18
Author: LANGSTON WERTZ JR lwerlz@charlotteobserver.com","Janet Cone has been athletic director at UNC Asheville for 21 years. She intentionally built a house in an area where, even when the snow and bad weather would come - and it always comes in the mountain winters - Cone knew she could still get to work.
That was until Hurricane Helene blew through Asheville last week, delivering a double-fisted blow of wind and Janet Cone rain like the area had not seen since ""The Great Flood"" of 1916.
Businesses closed. Nearly 100 lives were lost. The power went out. The water stopped working. ""In the 20-something years
I've been here,"" Cone said, ""I don't think I've ever not been able to get work until that Friday. My neighborhood wasn't bad. There were trees blown all over, but when you came out to the county road and you look to the right, it was like, 'Well I can't go that way.' There just trees and power lines down. Then I looked to the left and it was the same thing. ""All I could do was go back
home."" Like many people in the area, Cone didn't really know how bad things were.
She couldn't turn on the TV, although she did find an old transistor radio that could pick up one station. By Sunday, she could finally get a cellphone signal, and one of the first messages she read was from Charlotte 49ers AD Mike Hill. How can I help you? ""At first, I told Mike, 'Let me get back to you,'"" Cone said. ""My first thing was to make sure our students were safe. We were making sure we could get student-athletes off campus.""
THE AFTERMATH ON CAMPUS
When Cone finally got to UNC Asheville, she was able to see the damage, which included a building that houses athletic offices, golf and tennis locker rooms being flooded with water that was, she said, between eight and 12 feet high.
And once she got a head count of her athletes, and the teams currently in Cone began to work on a season will travel for all plan - with Hill and other away games. Basketball N .C. universities as well as starts next month. the NBA's Charlotte ('Athletics is just a small Hornets, who'd also part of the story of what's reached out.
This week, the UNC North Carolina,"" Cone Asheville swim team went said. ""It's horrible up to live and train at Garn- there, but it's getting bet-der-Webb University in ter each day. But it will be Boiling Springs. Track a long time before these went to Emory & Henry in communities in Asheville Virginia.
But most of the Bull- recover. But I want people dogs' teams playing now to understand that due to or training for the up- the generosity and hospi-coming winter sports sea- tality of these college sons came to Charlotte.
The men's and women's college presidents that it's basketball teams moved allowing our student-into hotels near UNC athletes to continue to Charlotte. The men's and practice and play and have women's soccer and vol- a semblance of a fall se-leyball teams are living in mester on a college cam-dorms on Charlotte's pus. campus. The Asheville ""And we're grateful for teams are practicing and that."" training at Queens Uni-versity and at Charlotte. THE MILLION DOLLAR The men, s and women's QUESTION basketball teams will prac- Chris Thomasson, the tice at the Hornets' up- Charlotte 49ers' executive town facility, beginning associate athletic director Thursday.
In all, that's about 140 athletes on five teams. Asheville stndents will practice here and the teams currently in season will travel for all away games. Basketball starts next month.
'Athletics is just a small part of the story of what's happened to western North Carolina,"" Cone said. ""It's horrible up there, but it's getting bet- ter each day. But it will be a long time before these communities inAsheville and around Asheville recover. But I want people to understand that due to the generosity and hospi- tality of these college athletic directors and college presidents that it's allowing our student- athletes to continue to practice and play and have a semblance of a fall se- mester on a college campus.
""And we're grateful for that.""

THE MILLION DOLLAR QUESTION
Chris Thomasson, the Charlotte 49ers' executive
associate athletic director for internal affairs, said he isn't sure how long the Asheville stndents will be on campus.
But he said it doesn't matter.
""Look this is what ath- letics is all about,"" Tho- masson said. ""We hear so much about college athlet- ics and how we're turning, more and more, into a pro model, but it really is about helping young peo- pie and developing them for life and putting them in positions where they learn and are exposed to life lessons. It makes me feel great as a university and athletic department that we're able to do this. And we' re excited to do this.""
Thomasson said the Asheville athletes moved onto campus at Charlotte on Monday and have been using the 49ers' team facilities or campus rec centers for things like weight training and watching film. The Ashe- ville athletes eat in the 49ers' dining hall.
In a statement provided to The Observer, the Hornets said they have ""a long-standing"" relation- ship with UNC Asheville, including hosting the NBA team for training camp and a preseason game. Beginning this week, the Bulldogs' basketball teams will use the practice facil- ity at Spectrum Center, including the Novant Health Training Center. On days when the space is not available, the Hornets said they will secure addi- tional facilities for the Asheville teams to use.
""We're proud to return the favor and host them at our home, especially dur- ing this time of need,"" the team said in its statement.
'NO PLAYBOOKFOR SOMETHING LIKETHIS'
There are about 95,000 people who live in Ashe- ville, which is bordered by the French Broad and the Swannanoa, which makes the city and the region susceptible to floods.
And when the city was blanketed by heavy rain, ahead of Helene last week, men's basketball coach Mike Morrell knew it could be bad.
He canceled a Friday practice and prepared for the worst.
He said the worst of the storm blew through Thursday night and, the next morning, he walked to a bridge that look out over the famous River Arts District near where he lives. Morrell said he liter- ally had to crawl through trees to get there.
""I wanted to see what the river was like,"" he said. ""They had talked about how high it could get.""
He stood there looking, he said, with about 30-40 people. And when he tried to go back, just a few hours later, the bridge he had been standing on was under water.
""That was the first time, I was like, 'Oh my gosh, this ain't good,'"" Morrell said.
Morrell said his players lost power about 7:30 a.m. Friday and he lost it about 30 minutes after that. Phones worked for little while longer, but when they went dark, it was hard to know what was going on.
""It was like you were in 'The Truman Show,' or 'The Hunger Games,'
where everybody can see what's going on top of you,n Morrell said, ""and you don't know what they're seeing.""
Morrell checked on his family in Tennessee, also affected by the storm, and then circled back to his players, who by then, had lost running water.
""We had to get the guys out of town, man,"" he said. ""This is not safe.""
The mother of fifth-year guard Josh Banks - who played at Charlotte's Olympic High School - drove up and Morrell said she took some guys back to Charlotte. Two other players, Kam Taylor and Jordan Marsh, both from the Charlotte-area, also drove back, taking team- mates with them.
By Monday, all of Mor- rell's players had all got- ten to Charlotte and in the team hotel.
""I told our players there is really no playbook for this,"" Morrell said.
""You're asking for a lot of grace from a lot of people in Charlotte. It makes you feel good but it's really not surprising. I would like to think that we would do the exact same thing. So we're just inconvenienced right now. That's all this is. We're not without power and water the way some people are in western North Carolina or Ten- nessee or Georgia, or people in Florida having to evacuate (due to Hurricane Milton).
""So we're inconve- nienced, but we're also thankful. It's probably not the only time in life you'll find yourself in a situation like this."""
"Millions without power as Florida begins recovery
October 13, 2024 | Charlotte Observer, The (NC) | Charlotte, North Carolina | Page 18
Author: JOHN YOON","NYT News Service
Florida residents were returning to their homes Friday to begin a long recovery after Hurricane Milton carved a path of destruction through the state. Millions of customers remained without power.
The storm leveled homes along its path, flooded coastal communities and areas of central Florida, and spawned deadly tornadoes on the state's Atlantic Coast.
Florida's preparations -including its building code and dire warnings from officials that prompted
one of the largest evacuations in the state's history- probably limited the impact. The hurricane also largely spared the densely populated cities in the Tampa Bay area from the high storm surge that officials had feared.
Still, Milton killed at least 13 people, most of them in the eastern part of Florida. The cleanup from the damage could take weeks or months for some residents, many of whom were still recovering from Hurricane Helene two weeks ago.
Here's what we're covering:
Rising death toll: Officials attributed at least 13 deaths in Florida to the storm. They were killed by tornadoes, falling trees and medical emergencies during the storm, and in cleanup efforts afterward, officials said.
Rescues and recovery: More than 990 people have been rescued since Milton made landfall Wednesday night, officials said. Thousands of rescue workers and National Guard troops were deployed to save people and address flooding and infrastructure damage, including to roads and the drinking water system.
Power outages: More than 2 million customers remained in the dark across Florida as of Friday morning. At one point Thursday, more than 3.4 million were without power, according to the website poweroutage.us. Officials were working to fix power lines and in some places use generators as a temporary measure."
"Our country's flood insurance system requires urgent fixes
October 13, 2024 | Charlotte Observer, The (NC) | Charlotte, North Carolina | Page 15
Author: MARK GONGLOFF","Bloomberg Opinion
There's an old saying that a recession is when you lose your job and a depression is when I lose mine. A similar logic ap-plies to floods. Hurricane Helene brought a flooding disaster to southern Appa-lachia unlike anything seen since Katrina. But getting just an inch of water in your house could be life-changing in its own way.
It shouldn't have to be. A heating planet has made torrential downfalls more common and destructive, meaning Americans every-where must be better prepared for the possibil-ities of catastrophic flood-ing - and not just from storms like Helene or Hurricane Milton. Fixing the country's busted flood insurance system is a good place to start. The Federal Emergency Management Agency, which adminis-ters the National Flood Insurance Program, is running out of money after multiple disasters and a quadrupling of prop-erties receiving repeated disaster payouts in the past 20 years.
Helene's destruction puts the insurance problem into stark relief. The storm may
do up to $250 billion in damage and economic loss, according to the latest estimate from the commer-cial forecaster AccuWeath-er. That would make it the second-most destructive storm in history after Katri-na. It's also the deadliest storm since Katrina, taking at least 230 lives so far.
But Standard & Poor's estimates the insured losses from the storm will be just $5 billion to $15 billion. That's a drop in the bucket compared with the $97 billion in profit the insurance industry netted in the first half of the year.
How did insurers get so lucky and homeowners so unlucky? It mostly comes down to flood insurance -or the lack thereof. Less than 2.5% of homes in Helene's path were in-sured against rising wa-ters, Bloomberg News reported. In Buncombe County, North Carolina, where hard-hit Asheville is situated, just 0.7% of homes had flood insur-ance, according to an NBC News estimate.
In fact, only about 4% of all U.S. homeowners have flood insurance, according to FEMA, main-ly through its insurance program. Even in areas at high risk of flooding, less than a third of homes are
insured against rising waters, according to a 2018 estimate by the Wharton School.
Homeowners are taking a lot of risk by passing up on flood insurance. Ac-cording to FEMA, 99% of U.S. counties have flooded at one point or another since 1996, and 40% of its flood claims come from outside of high-risk zones. And all it takes is 1 inch of water in your house to do $25,000 worth of dam-age, the agency suggests.
FEMA's own flood maps are out of date and don't reflect a changing climate. And many others may feel the risk is too low to justi-fy the expense of flood insurance. The median annual cost is less than $800, which feels like a bargain compared with, say, $25,000. Too many people apparently don't see it that way.
""Floods are low-prob-ability but high-conse-quence events,"" Wharton professor Robert Meyer, an expert on both insnr-ance and consumer beha-vior, told me. ""Our brains not well wired to make sensible decisions on that.""
Probably to cope with the bleak harshness of reality, humans have evolved to be both optimistic and amnes-
Making flood insurance cheaper would make it more appealing. And the magic of insurance is that, when more people buy into it, costs fall. Publicly funded national or regional risk pools could be one way to accomplish this.
Overhauling insurance regulation could be another approach. Kenneth Klein, a professor at the California Western School of Law, has suggested that insurers should be forced to include all perils in homeowners' policies. This would lower the costs of insuring against often excluded risks - not just floods, but earthquakes, mold and more - while also keeping all insurers on a level playing field.
FEMA's flood program needs other long-term fixes, which my Bloomberg Opinion colleague Jonathan Levin has listed, including curbing subsidies for wealthy people rebuilding in risky areas. As with so much involving climate change, making some difficult but necessary choices now will prevent far more expensive and painful choices in the future."
"Panthers CB Dane Jackson preparing to return from IR
October 13, 2024 | Charlotte Observer, The (NC) | Charlotte, North Carolina | Page 36
Author: Mike Kaye","new team, whether that's this week or down the road.
His 21-day window is currently in its second week. If he remains on injured reserve beyond Week 7, he'd be shut down for the season.
But, for now, he's just focusing on one day at a time. On Thursday, he was listed as a limited participant in practice, along with tight end Ian Thomas ( calf) who is also designated to return from IR.
""Whenever my name is called 1 whenever it's my time to go out there and ball, I'm just going to be ready,"" Jackson said.
While the Panthers are staying mum on Jackson's status, head coach Dave Canales has been pleased with his progress in practice. On Wednesday, Canales said Jackson could ""absolutely"" be in line for a return against Atlanta.
The Panthers could benefit from using Jackson this weekend against the Falcons, especially with wide receivers like Drake London and Darnell Mooney coming to town.
""I think with Dane coming back, it's just going to add another element of even more physicality -his energy is upbeat,"" said Jonathan Cooley, the team's defensive pass game coordinator. ""And so I just think it's just going to make us better. And we're excited about whenever it is his time to play again.""
PANTHERS INJURY UPDATES: DIONTAE JOHNSON STILL LIMITED IN PRACTICE
The Panthers are still monitoring wide receiver Diontae Johnson's ankle injury. The top receiving threat on the roster was limited in practice again on Thursday.
Carolina Panthers cornerback Dane Jackson. right, runs through a drill during the team's voluntary minicamp practice on April 23.
Johnson, who leads the team in receiving yards, has taken part in the first two practices of the week. The same can't be said for passrusherJadeveon Clowney (shoulder), tight end Tommy Tremble (concussion protocol), linebacker Josey Jewell (hamstring/groin) and rookie lineman Andrew Raym (concussion protocol). All four were listed as non-participants on Thursday. Right tackle Taylor Moton (triceps), who was already ruled out for this weekend, was also sidelined. Center Austin Corbett has yet to be placed on injured reserve, so he was singled out as a non-participant as well.
In more positive news, wide receiver Xavier Legette (shoulder) was a full go for a second day in a row."
