County,Outlet,Access Area,URL,Leader,Leader Email,General Email,Owner/Group,Type
Alexander,Taylorsville Times,Alexander,https://www.taylorsvilletimes.com/,,,taylorsvilletimes@taylorsvilletimes.com,Sharpe Walter Lee,newspaper
Alleghany,Alleghany News,Alleghany,https://www.alleghanynews.com/,"Coby LaRue, Publisher",publisher@alleghanynews.com,news@alleghanynews.com,The Alleghany News Publishing Co. Inc,newspaper
Ashe,Ashe Post & Times,"Alleghany, Ashe, Avery, Mitchell, Watauga, Wilkes, Yancey",https://www.ashepostandtimes.com/,Teresa Laws – General Manager/Advertising,teresa.laws@ashepostandtimes.com,moss.brennan@mountaintimes.com,Adams Publishing Group,newspaper
Avery,The Avery Journal-Times,Avery,https://www.averyjournal.com/,Jamie Shell,editor@averyjournal.com,news@averyjournal.com,Adams Publishing Group,newspaper
Buncombe,Mountain Xpress,Buncombe,https://mountainx.com/,Jeff Fobes,publisher@mountainx.com,news@mountainx.com,"Fobes, Jeff",newspaper
Buncombe,Asheville Citizen-Times,"Buncombe, Madison, Alleghany, Ashe, Avery, Burke, Caldwell, Cherokee, Clay, Graham, Haywood, Henderson, Jackson, Macon, McDowell, Mitchell, Polk, Rutherford, Swain, Transylvania, Watauga, Wilkes, Yancey",https://www.citizen-times.com/,"Jewell Walston, Executive Editor",jwalston@gannett.com,jwalston@gannett.com,Gannett/Gatehouse,newspaper
Buncombe,Black Mountain News,Buncombe,https://www.blackmountainnews.com/,"Jewell Walston, Executive Editor",jwalston@gannett.com,news@blackmountainnews.com,Gannett/Gatehouse,newspaper
Buncombe,Weaverville Tribune,Buncombe,https://tribpapers.com/,David Morgan,david@tribpapers.com,katrina@tribpapers.com,"Parker, Clint",newspaper
Buncombe,Asheville Watchdog,Buncombe,https://avlwatchdog.org/,"Tom Fiedler, Sally Kestin, Steve Keeble, David Feingold, John Forsyth, Jason Sandford",,bark@avlwatchdog.org,"Tom Fiedler, Sally Kestin, Steve Keeble, David Feingold, John Forsyth, Jason Sandford",digital
Buncombe,AVLToday,Buncombe,https://avltoday.6amcity.com/,Erin McPherson,,,,digital
Buncombe,The Blue Banner,Buncombe,,Michael Gouge,mgouge@unca.edu,,UNC-Asheville,newspaper
Buncombe,The Echo,Buncombe,,Jay Lively,jlively@warren-wilson.edu,,Warren Wilson College,newspaper
Buncombe,Carolina Public Press,Statewide,https://carolinapublicpress.org,Managing Editor Frank Taylor,ftaylor@carolinapublicpress.org,info@carolinapublicpress.org,,digital
Buncombe,Hola Carolina,Statewide,https://holacarolina.org/news/,,,info@holacarolina.org,,digital
Burke,News Herald,Burke,https://morganton.com/,Lisa Wall,lwall@morganton.com,news@morganton.com,Lee/Bh Media,newspaper
Cabarrus,Independent Tribune,"Cabarrus, Rowan",https://independenttribune.com/,Mark Plemmons,mplemmons@independenttribune.com,news@independenttribune.com,Lee/Bh Media,newspaper
Caldwell,Caldwell Journal,Caldwell,http://caldwelljournal.com/,,,mark.jackson@caldwelljournal.com,Caldwell Journal,newspaper
Caldwell,News-Topic,Caldwell,https://www.newstopicnews.com/,Lori Spurling,lspurling@newstopicnews.com,news@newstopicnews.com,Paxton Media Group,newspaper
Catawba,Hickory Daily Record,"Catawba, Burke, Caldwell",https://hickoryrecord.com/,Eric Millsaps,emillsaps@hickoryrecord.com,news@hickoryrecord.com,Lee/Bh Media,newspaper
Catawba,Observer News Enterprise,Catawba,https://www.observernewsonline.com/,,,onenews@observernewsonline.com,Horizon Publications,newspaper
Cherokee,Cherokee Scout,Cherokee,https://www.cherokeescout.com/,David Brown,dbrown@cherokeescout.com,news@cherokeescout.com,Community Newspapers Inc. (CNI),newspaper
Clay,Clay County Progress,Clay,https://www.claycountyprogress.com/,,,news@claycountyprogress.com,Community Newspapers Inc. (CNI),newspaper
Cleveland,Kings Mountain Herald,"Cleveland, Gaston",https://www.kmherald.com/,,,info@kmherald.com,"Community First Media, Inc.",newspaper
Cleveland,The Star,Cleveland,https://www.shelbystar.com/,,,dturbyfill@shelbystar.com,Gannett/Gatehouse,newspaper
Cleveland,GWU-Today,Cleveland,,Dr. Jim Lawrence,hlawrence@gardner-webb.edu,,Gardner-Webb University,digital
Forsyth,The Clemmons Courier,Forsyth,https://www.clemmonscourier.net/,,,news@clemmonsourier.net,Boone Newspapers,newspaper
Forsyth,Kernersville News,"Forsyth, Guilford",https://www.kernersvillenews.com/,,,publisher@kernersvillenews.com,Carteret Publishing Co Inc,newspaper
Forsyth,Winston-Salem Chronicle,Forsyth,https://wschronicle.com/,,,office@wschronicle.com,The Chronicle Media Group LLC,newspaper
Forsyth,Que Pasa Winston-Salem,"Guilford, Wake, Durham",https://quepasamedia.com/,,,editor@quepasamedia.com,Latino Communications LLC,newspaper
Forsyth,Winston-Salem Journal,"Forsyth, Alleghany, Ashe, Davidson, Davie, Stokes, Surry, Watauga, Wilkes, Yadkin",https://journalnow.com/,,,contact@wsjournal.com,Lee/Bh Media,newspaper
Forsyth,Old Gold and Black,Forsyth,,Justin Catanoso,catanojj@wfu.edu,,Wake Forest University,newspaper
Forsyth,The News Argus,Forsyth,,Don Wood,wooddj@wssu.edu,,Winston-Salem State University,newspaper
Gaston,Cherryville Eagle,Gaston,https://www.cherryvilleeagle.com/,,,ads@cfmedia.info,"Community First Media, Inc.",newspaper
Gaston,The Gaston Gazette,"Gaston, Lincoln, Cleveland",https://www.gastongazette.com/,,,Kellis@gastongazette.com,Gannett/Gatehouse,newspaper
Graham,The Graham Star,Graham,https://www.grahamstar.com/,,,editor@grahamstar.com,Community Newspapers Inc. (CNI),newspaper
Haywood,Smoky Mountain News,"Haywood, Jackson, Macon, Swain",https://www.smokymountainnews.com/,,,info@smokymountainnews.com,"McLeod, Scott",newspaper
Haywood,Mountaineer,Haywood,https://www.themountaineer.com/,,,jkey@themountaineer.com,Mountaineer Publishing Co Inc,newspaper
Henderson,Hendersonville Lightning,Henderson,https://www.hendersonvillelightning.com/news.html,,,billmoss@hendersonvillelightning.com,"Moss, Bill",newspaper
Henderson,Times-News,Henderson,https://www.blueridgenow.com/,,,dhensley@gannett.com,Gannett/Gatehouse,newspaper
Iredell,Mooresville Tribune,"Iredell, Mecklenburg",https://mooresvilletribune.com/,"Donna Swicegood, Local Editor",dswicegood@statesville.com,news@mooresvilletribune.com,Lee/Bh Media,newspaper
Iredell,Statesville Record & Landmark,Iredell,https://statesville.com/,"Donna Swice Good, Local Editor",dswicegood@statesville.com,news@statesville.com,Lee/Bh Media,newspaper
Iredell,County News,Iredell; Cabarrus; Catawba; Mecklenburg; Rowan,,,,,,newspaper
Jackson,Crossroads Chronicle,Jackson,,Unnamed,editor@crossroadschronicle.com,editor@crossroadschronicle.com,Community Newspapers Inc. (CNI),newspaper
Jackson,Sylva Herald & Ruralite,Jackson,http://www.thesylvaherald.com/,"Steve Gray, Publisher",sbg@thesylvaherald.com,news@thesylvaherald.com,Gray Jim,newspaper
Jackson,The Western Carolina Journalist,Jackson,,Katerina Spasovska,kspasovska@wcu.edu,,Western Carolina University,newspaper
Jackson,"Western Carolinian_x000D_
",Jackson,,Justin Caudell,jcaudell@westerncarolinian.com,,Western Carolina University,newspaper
Lincoln,Lincoln Times-News,Lincoln,https://www.lincolntimesnews.com/,"Debra Propst, Business Office (no email for an editor, publisher's email not shared; this address also given as general email)",debrapropst@lincolntimesnews.com,news@lincolntimesnews.com,Western Carolina Publishing,newspaper
Macon,Highlander,Macon,,,,,Community Newspapers Inc. (CNI),newspaper
Madison,News-Record and Sentinel,"Madison, Buncombe",https://www.citizen-times.com/local/news-record-and-sentinel/ (Now part of Asheville Citizen Times),"Jewell Walston, Executive Editor",jwalston@gannett.com,None given,Gannett/Gatehouse,newspaper
Madison,The Roar,Madison,,Teresa Buckner,tbuckner@mhu.edu,,Mars Hill University,newspaper
McDowell,McDowell News,McDowell,https://mcdowellnews.com/,Scott Hollifield,RHollifield@mcdowellnews.com,circulation@mcdowellnews.com,Lee/Bh Media,newspaper
Mecklenburg,Union County Weekly,Union,https://www.thecharlotteweekly.com/ucweekly/,"Justin Vick, Managing Editor",justin@cmgweekly.com,None given,Carolina Weekly Newspaper Group,newspaper
Mecklenburg,South Charlotte Weekly,Mecklenburg,https://www.thecharlotteweekly.com/southcltweekly/,"Justin Vick, Managing Editor",justin@cmgweekly.com,None given,Carolina Weekly Newspaper Group,newspaper
